Size	Bubble Sort	Selection Sort	Insertion Sort	The Fast Heap Sort	Comb Sort	Cocktail Sort
50	21133.82	8884.92	24555.035	16630.13	89987.17	46842.484
100	29677.115	13042.925	20780.24	9971.385	109143.68	51660.246
150	68547.16	27308.63	15275.065	18625.205	277428.12	119683.92
200	114269.65	43867.65	24555.09	21349.115	533133.94	210398.1
250	164568.88	60264.684	31608.914	26285.385	810708.25	294018.84
300	238048.42	90291.44	48078.984	34220.27	1217693.4	414787.28
350	302378.38	112051.34	61961.535	38245.895	1739687.9	573916.1
400	403049.84	149380.69	80971.89	46966.926	2292979.8	739235.7
450	497926.0	184343.72	97205.0	51326.41	2903300.8	885933.8
500	617042.8	224794.16	118777.32	56817.703	3663311.0	1069479.6
550	746797.06	272071.1	149384.66	66737.82	4789165.5	1372959.6
600	958263.8	359660.1	202528.4	79847.9	6421543.5	1748694.9
650	1092570.1	414178.8	226423.72	88412.79	7472574.0	1987899.0
700	1198819.2	457882.7	245671.06	90467.14	8175189.0	2168131.0
750	1652309.8	652039.6	371304.7	113007.4	1.2374875E7	3126856.0
800	1558108.1	578402.2	315794.53	105443.97	1.1083174E7	2898040.2
850	1705777.8	621744.2	327332.38	105621.78	1.183445E7	3007837.8
900	1897712.1	685283.94	379502.3	119217.76	1.3742781E7	3471237.8
950	2157177.8	834342.94	444701.4	128436.53	1.6298866E7	4033617.0
1000	2723258.5	1020501.44	559397.7	149293.78	2.1522148E7	5113950.0
